job,step,burst_length,emissions_per_profile,statistic,quantity,begin,mid,end,value,unit
burst-4,1,4,20,mean,drift_mid_minus_begin,21.3344749641,15.9823787426,24.1762472766,-5.35209622154,mm/s
burst-4,1,4,20,mean,drift_end_minus_mid,21.3344749641,15.9823787426,24.1762472766,8.19386853405,mm/s
burst-4,1,4,20,mean,drift_end_minus_begin,21.3344749641,15.9823787426,24.1762472766,2.84177231251,mm/s
burst-4,1,4,20,mean,anchor_range,21.3344749641,15.9823787426,24.1762472766,8.19386853405,mm/s
burst-4,1,4,20,median,drift_mid_minus_begin,21.110361007,17.2888695791,24.1454361925,-3.82149142793,mm/s
burst-4,1,4,20,median,drift_end_minus_mid,21.110361007,17.2888695791,24.1454361925,6.85656661345,mm/s
burst-4,1,4,20,median,drift_end_minus_begin,21.110361007,17.2888695791,24.1454361925,3.03507518552,mm/s
burst-4,1,4,20,median,anchor_range,21.110361007,17.2888695791,24.1454361925,6.85656661345,mm/s
burst-4,1,4,20,iqr,drift_mid_minus_begin,30.9897150522,30.0988529026,25.7244125542,-0.890862149597,mm/s
burst-4,1,4,20,iqr,drift_end_minus_mid,30.9897150522,30.0988529026,25.7244125542,-4.37444034836,mm/s
burst-4,1,4,20,iqr,drift_end_minus_begin,30.9897150522,30.0988529026,25.7244125542,-5.26530249796,mm/s
burst-4,1,4,20,iqr,anchor_range,30.9897150522,30.0988529026,25.7244125542,5.26530249796,mm/s
burst-4,1,4,20,rms,drift_mid_minus_begin,36.7643050043,33.8227360191,35.0629224692,-2.9415689852,mm/s
burst-4,1,4,20,rms,drift_end_minus_mid,36.7643050043,33.8227360191,35.0629224692,1.24018645014,mm/s
burst-4,1,4,20,rms,drift_end_minus_begin,36.7643050043,33.8227360191,35.0629224692,-1.70138253506,mm/s
burst-4,1,4,20,rms,anchor_range,36.7643050043,33.8227360191,35.0629224692,2.9415689852,mm/s
burst-4,1,4,20,zero_fraction,drift_mid_minus_begin,0.00951873286628,0.0100137069753,0.00940450807189,0.000494974109047,dimensionless
burst-4,1,4,20,zero_fraction,drift_end_minus_mid,0.00951873286628,0.0100137069753,0.00940450807189,-0.000609198903442,dimensionless
burst-4,1,4,20,zero_fraction,drift_end_minus_begin,0.00951873286628,0.0100137069753,0.00940450807189,-0.000114224794395,dimensionless
burst-4,1,4,20,zero_fraction,anchor_range,0.00951873286628,0.0100137069753,0.00940450807189,0.000609198903442,dimensionless
burst-18,3,18,20,mean,drift_mid_minus_begin,24.323195974,22.3271695808,23.8952795333,-1.99602639323,mm/s
burst-18,3,18,20,mean,drift_end_minus_mid,24.323195974,22.3271695808,23.8952795333,1.56810995257,mm/s
burst-18,3,18,20,mean,drift_end_minus_begin,24.323195974,22.3271695808,23.8952795333,-0.427916440668,mm/s
burst-18,3,18,20,mean,anchor_range,24.323195974,22.3271695808,23.8952795333,1.99602639323,mm/s
burst-18,3,18,20,median,drift_mid_minus_begin,24.3420402531,22.0688058024,23.6662137948,-2.2732344507,mm/s
burst-18,3,18,20,median,drift_end_minus_mid,24.3420402531,22.0688058024,23.6662137948,1.59740799238,mm/s
