relative_path,order,step,job,kind,requested_label,identity,point_key,job_started_at,job_finished_at,recording_stamp,declared_burst_length,declared_emissions_per_profile,declared_prf_us,declared_resolution_mm,declared_accepted_resolution_mm,declared_gates,declared_first_gate_mm,declared_depth_mm,is_control,quantity,unit,profiles,gates,duration_s,depth_min_mm,depth_max_mm,resolution_mm,prf_period_us,prf_hz,burst_length,emissions_per_profile,emit_freq_khz,emit_power,sensitivity,sampling_volume_index,sound_speed_ms,doppler_angle_deg,velo_max_ms,tgc_mode,tgc_start_db,tgc_end_db,skipped_profiles,op_word_14,op_word_27,op_word_84,requested_duration_s,median_interval_s,interval_iqr_s,achieved_period_s,retained_fraction,usable_interval_s,designed_window_s,retains_designed_window,period_expectation_s,period_residual_s,timestamps_monotone,nan_count,zero_fraction,non_zero_fraction,velocity_min_mm_s,velocity_max_mm_s,supported_gates,window_revolutions,window_s,window_profiles,supported_mean_mm_s,supported_median_mm_s,supported_iqr_mm_s,supported_rms_mm_s,supported_zero_fraction,source_sha256,file_size_bytes,log_relative_path,log_status,log_target_s,log_achieved_period_s,log_median_interval_s,manifest_relative_path,job_definition,job_definition_fingerprint,plan,plan_fingerprint,decode_error
sparse3-burst-18-ctrl-end-20260924T172136.BDD,11,3,burst-18,scientific,ctrl-end,sparse3-burst-18-ctrl-end,5,2026-09-24T17:21:28.794095+03:00,2026-09-24T17:23:01.649409+03:00,20260924T172136,18,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,560,50,12.5179,10.138,100.788,1.85,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933810376,1.04315833333,,12,true,0.0226,-0.000206618962433,true,0,0.00971428571429,0.990285714286,-67.435192786,177.017381063,49,100,12,536,23.8952795333,23.6662137948,27.0944971015,36.5341316345,0.00974718245507,3fb922bd78693c1f4c9cad273521a5c172d5df6a34d02b7ad7a4427a36589c19,70027,sparse-mixer-live-2-burst-18.jsonl,ok,0.0226,0.0223933810376,0.0224,sparse-mixer-live-2-burst-18.manifest.json,jobs/burst-18.json,1ab97cc4c47a079491e00be4f67e1c8c9311c4b7dd7342b114c7177e4a66e90d,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-common-reference-2-cr2-20260924T172424.BDD,12,4,common-reference-2,common-reference,cr2,sparse3-common-reference-2-cr2,1,2026-09-24T17:24:16.477227+03:00,2026-09-24T17:24:45.103806+03:00,20260924T172424,10,20,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,562,50,12.5627,10.138,100.788,1.85,600,1666.66666667,10,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223934046346,1.04689166667,,12,true,0.0226,-0.000206595365419,true,0,0.00879003558719,0.991209964413,-79.4771914978,130.053586087,49,100,12,536,23.3628254858,23.481897488,25.619966647,35.2832701656,0.00849070971672,974605480a54543605205402e4a66f06a85bc0d026d91844e552e3a6b849864f,70165,sparse-mixer-live-2-common-reference-2.jsonl,ok,0.0226,0.0223934046346,0.0224,sparse-mixer-live-2-common-reference-2.manifest.json,jobs/common-reference-2.json,81ae936ecd351603717a6aa0713e8ec16def8c07179c27d14b83b716370c403a,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-8-ctrl-begin-20260924T172909.BDD,13,5,emissions-8,scientific,ctrl-begin,sparse3-emissions-8-ctrl-begin,1,2026-09-24T17:29:01.633364+03:00,2026-09-24T17:30:18.457538+03:00,20260924T172909,10,8,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,826,50,12.5345,10.138,100.788,1.85,600,1666.66666667,10,8,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,8,1,0,12,0.0152,1.02348685083e-16,0.0151933333333,1.04454166667,,12,true,0.0154,-0.000206666666667,true,0,0.0108474576271,0.989152542373,-115.603187633,142.095584799,49,100,12,790,18.6133961127,18.2964653896,34.1722432832,35.5082372532,0.0104107465771,4c8c8f2a96a34cc2d8494416ce574ac4be0cbc1d5f5f32ce141d7640317788a0,88381,sparse-mixer-live-2-emissions-8.jsonl,ok,0.0154,0.0151933333333,0.0152,sparse-mixer-live-2-emissions-8.manifest.json,jobs/emissions-8.json,346b0be1b7af117c56688e0b995539116d0dcb0429dcafb515b07ea93e748011,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-8-e8-20260924T172909.BDD,14,5,emissions-8,scientific,e8,sparse3-emissions-8-e8,2,2026-09-24T17:29:01.633364+03:00,2026-09-24T17:30:18.457538+03:00,20260924T172909,10,8,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,826,50,12.5346,10.138,100.788,1.85,600,1666.66666667,10,8,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,8,1,0,12,0.0152,9.71445146547e-17,0.0151934545455,1.04455,,12,true,0.0154,-0.000206545454545,true,0,0.0089588377724,0.991041162228,-114.398987762,170.996381707,49,100,12,790,26.0420743208,25.7059809235,28.2618337113,40.3408652423,0.00852492895893,884394065835034e34932fde00b7e20282ad5d02ffbf5d017dd06aae4d5e9ef3,88381,sparse-mixer-live-2-emissions-8.jsonl,ok,0.0154,0.0151934545455,0.0152,sparse-mixer-live-2-emissions-8.manifest.json,jobs/emissions-8.json,346b0be1b7af117c56688e0b995539116d0dcb0429dcafb515b07ea93e748011,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-8-ctrl-mid-20260924T172909.BDD,15,5,emissions-8,scientific,ctrl-mid,sparse3-emissions-8-ctrl-mid,3,2026-09-24T17:29:01.633364+03:00,2026-09-24T17:30:18.457538+03:00,20260924T172909,10,8,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,827,50,12.5497,10.138,100.788,1.85,600,1666.66666667,10,8,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,8,1,0,12,0.0152,1.11022302463e-16,0.0151933414044,1.04580833333,,12,true,0.0154,-0.000206658595642,true,0,0.010253929867,0.989746070133,-114.398987762,191.467779517,49,100,12,790,23.0683134713,22.9289485676,29.7732274272,36.5308916793,0.00955825368122,a2db9435f208f39e1f7ce36cd2c4d059cfc62b2f94b6991cb6a19074e9fbb68e,88450,sparse-mixer-live-2-emissions-8.jsonl,ok,0.0154,0.0151933414044,0.0152,sparse-mixer-live-2-emissions-8.manifest.json,jobs/emissions-8.json,346b0be1b7af117c56688e0b995539116d0dcb0429dcafb515b07ea93e748011,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-8-ctrl-end-20260924T172909.BDD,16,5,emissions-8,scientific,ctrl-end,sparse3-emissions-8-ctrl-end,4,2026-09-24T17:29:01.633364+03:00,2026-09-24T17:30:18.457538+03:00,20260924T172909,10,8,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,827,50,12.5497,10.138,100.788,1.85,600,1666.66666667,10,8,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,8,1,0,12,0.0152,1.11022302463e-16,0.0151933414044,1.04580833333,,12,true,0.0154,-0.000206658595642,true,0,0.0087061668682,0.991293833132,-115.603187633,186.650980033,49,100,12,790,21.2154757413,21.2701018062,29.0298183231,36.9839113252,0.00855076207698,4b5752beae1c0b54a798fa4c8add2baff19fea92291bfd603ab45b7d05e53367,88450,sparse-mixer-live-2-emissions-8.jsonl,ok,0.0154,0.0151933414044,0.0152,sparse-mixer-live-2-emissions-8.manifest.json,jobs/emissions-8.json,346b0be1b7af117c56688e0b995539116d0dcb0429dcafb515b07ea93e748011,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-common-reference-3-cr3-20260924T173145.BDD,17,6,common-reference-3,common-reference,cr3,sparse3-common-reference-3-cr3,1,2026-09-24T17:31:37.531562+03:00,2026-09-24T17:32:06.157923+03:00,20260924T173145,10,20,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,10,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,,12,true,0.0226,-0.000206607142857,true,0,0.00791443850267,0.992085561497,-72.2519922707,158.954382996,49,100,12,536,22.5966748672,22.1056690638,24.34818413,34.6885799074,0.00772921108742,8f9afb1c4a0fea3b1d19bba2bebbc72c7c35516e0daf1a1d5e039c2ed1319ca5,70096,sparse-mixer-live-2-common-reference-3.jsonl,ok,0.0226,0.0223933928571,0.0224,sparse-mixer-live-2-common-reference-3.manifest.json,jobs/common-reference-3.json,42243f5e9d47c35fb15c2b6b04e33be1dd031653854d9cd9c8d069396054f57c,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-64-ctrl-begin-20260924T173312.BDD,18,7,emissions-64,scientific,ctrl-begin,sparse3-emissions-64-ctrl-begin,1,2026-09-24T17:33:04.875186+03:00,2026-09-24T17:34:21.680323+03:00,20260924T173312,10,64,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,257,50,12.4912,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.04879375,1.04093333333,,12,true,0.049,-0.00020625,true,0,0.00762645914397,0.992373540856,-68.6393926572,137.278785314,49,100,12,246,24.7595241806,24.5017810524,26.9900511943,37.4081551916,0.00688568110171,a23166252437a9c2c1a87ccb7c17421943e1e87f4e22d874d9903db58150a664,49120,sparse-mixer-live-2-emissions-64.jsonl,ok,0.049,0.04879375,0.0488,sparse-mixer-live-2-emissions-64.manifest.json,jobs/emissions-64.json,e5f0cc0c4c21de3935eb529cfec6b0b704a8ae0bbf99366e8e395e631a33e6b0,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-64-e64-20260924T173312.BDD,19,7,emissions-64,scientific,e64,sparse3-emissions-64-e64,2,2026-09-24T17:33:04.875186+03:00,2026-09-24T17:34:21.680323+03:00,20260924T173312,10,64,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,257,50,12.4911,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.048793359375,1.040925,,12,true,0.049,-0.000206640625,true,0,0.0101167315175,0.989883268482,-66.2309929148,116.807387504,49,100,12,246,23.3224563901,22.6586179842,26.1114767985,33.9567335264,0.0100381616061,051d6c1bcaa08475605781e2ad065044ad74d6f53d1deecfb1a87332a8d8a75d,49120,sparse-mixer-live-2-emissions-64.jsonl,ok,0.049,0.048793359375,0.0488,sparse-mixer-live-2-emissions-64.manifest.json,jobs/emissions-64.json,e5f0cc0c4c21de3935eb529cfec6b0b704a8ae0bbf99366e8e395e631a33e6b0,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-emissions-64-ctrl-mid-20260924T173312.BDD,20,7,emissions-64,scientific,ctrl-mid,sparse3-emissions-64-ctrl-mid,3,2026-09-24T17:33:04.875186+03:00,2026-09-24T17:34:21.680323+03:00,20260924T173312,10,64,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,258,50,12.5399,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.048793385214,1.04499166667,,12,true,0.049,-0.000206614785992,true,0,0.00736434108527,0.992635658915,-66.2309929148,132.46198583,49,100,12,246,25.3939918579,25.3004850485,29.9083927189,38.7532868821,0.00738344118135,cb00c05829a3e835597ab46f71bf54a16ba28c307f732f049ebdc1280f156b17,49189,sparse-mixer-live-2-emissions-64.jsonl,ok,0.049,0.048793385214,0.0488,sparse-mixer-live-2-emissions-64.manifest.json,jobs/emissions-64.json,e5f0cc0c4c21de3935eb529cfec6b0b704a8ae0bbf99366e8e395e631a33e6b0,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
