knot,depth_mm,cc1_native_mm,cc1_offset_mm,cc1_mm_s,cc2_native_mm,cc2_offset_mm,cc2_mm_s,cc3_native_mm,cc3_offset_mm,cc3_mm_s,cc4_native_mm,cc4_offset_mm,cc4_mm_s,interaction_mm_s
0,10.138,10.138,0,40.8415077805,10.138,0,27.6628344239,10.138,0,34.7580968404,10.138,0,36.3749089579,-14.7954854741
1,13.098,13.2213333333,0.123333333333,49.3136728554,13.2213333333,0.123333333333,42.4058421925,13.098,0,41.5639564475,13.098,0,50.2445108261,-15.5883850415
2,16.058,16.3046666667,0.246666666667,54.0134286144,16.3046666667,0.246666666667,52.2780302953,16.058,0,47.140949147,16.058,0,56.0390219381,-10.6334711102
3,19.018,18.7713333333,-0.246666666667,56.2057476322,18.7713333333,-0.246666666667,54.0471912276,19.018,0,52.0967810191,19.018,0,57.9697781561,-8.03155354169
4,21.978,21.8546666667,-0.123333333333,57.283900414,21.8546666667,-0.123333333333,55.2108759629,21.978,0,52.8637016074,21.978,0,58.2814797988,-7.49080264251
5,24.938,24.938,0,58.7019301689,24.938,0,52.4085790664,24.938,0,49.8027466276,24.938,0,57.4831648004,-13.9737692753
6,27.898,28.0213333333,0.123333333333,57.5067336612,28.0213333333,0.123333333333,50.6169097254,27.898,0,44.9769773114,27.898,0,53.9400813805,-15.8529280049
7,30.858,31.1046666667,0.246666666667,55.8793757045,31.1046666667,0.246666666667,48.4425974346,30.858,0,43.9992656842,30.858,0,51.5294391803,-14.966951766
8,33.818,33.5713333333,-0.246666666667,55.0240561698,33.5713333333,-0.246666666667,47.3756988572,33.818,0,46.2663905813,33.818,0,48.8698841576,-10.2518508889
9,36.778,36.6546666667,-0.123333333333,56.0279312026,36.6546666667,-0.123333333333,46.8535037728,36.778,0,44.9231583228,36.778,0,47.3629524752,-11.6142215822
10,39.738,39.738,0,54.2947837245,39.738,0,44.5959103695,39.738,0,41.9182647895,39.738,0,47.0198564225,-14.800464988
11,42.698,42.8213333333,0.123333333333,56.2530152907,42.8213333333,0.123333333333,41.4267264094,42.698,0,36.6888530584,42.698,0,43.2906490002,-21.428084823
12,45.658,45.9046666667,0.246666666667,56.2597678133,45.9046666667,0.246666666667,39.9479239508,45.658,0,32.7488545972,45.658,0,38.1800875357,-21.743076801
13,48.618,48.3713333333,-0.246666666667,54.0742013181,48.3713333333,-0.246666666667,40.8302535761,48.618,0,35.4667135243,48.618,0,39.1824661995,-16.9597004172
14,51.578,51.4546666667,-0.123333333333,48.7577151579,51.4546666667,-0.123333333333,42.435103124,51.578,0,33.0314042876,51.578,0,45.8515358771,-19.1427436234
15,54.538,54.538,0,40.6839489188,54.538,0,39.7971176118,54.538,0,32.769036718,54.538,0,37.1507993777,-5.26859396675
16,57.498,57.6213333333,0.123333333333,29.3532159253,57.6213333333,0.123333333333,34.2803066132,57.498,0,25.6245659739,57.498,0,32.2465440364,-1.69488737468
17,60.458,60.7046666667,0.246666666667,18.396122518,60.7046666667,0.246666666667,28.4708863001,60.458,0,21.4356546901,60.458,0,23.8956309633,7.6147875089
18,63.418,63.1713333333,-0.246666666667,12.9198266553,63.1713333333,-0.246666666667,21.5000320925,63.418,0,14.4279738755,63.418,0,16.2241826219,6.78399669087
19,66.378,66.2546666667,-0.123333333333,10.5024235494,66.2546666667,-0.123333333333,13.7909020761,66.378,0,11.1629552304,66.378,0,8.83079905531,5.62063470181
20,69.338,69.338,0,6.73676675596,69.338,0,10.7657719324,69.338,0,7.39786848235,69.338,0,6.46949092803,4.95738273079
21,72.298,72.4213333333,0.123333333333,5.25346261557,72.4213333333,0.123333333333,3.63735886323,72.298,0,4.68000955522,72.298,0,1.79845120426,1.26545459861
22,75.258,75.5046666667,0.246666666667,7.12616222832,75.5046666667,0.246666666667,3.88270051922,75.258,0,6.63767526758,75.258,0,3.37714153817,0.0170720203112
23,78.218,77.9713333333,-0.246666666667,16.6562225172,77.9713333333,-0.246666666667,16.2398169543,78.218,0,13.8830566154,78.218,0,21.3952904486,-7.92863939617
24,81.178,81.0546666667,-0.123333333333,13.4105099673,81.0546666667,-0.123333333333,12.1095239382,81.178,0,11.9455730238,81.178,0,16.1456965968,-5.50110960208
25,84.138,84.138,0,8.80979120709,84.138,0,9.58182962918,84.138,0,6.77446519708,84.138,0,17.0068004153,-9.46029679615
26,87.098,87.2213333333,0.123333333333,0.319619405061,87.2213333333,0.123333333333,-6.11553467289,87.098,0,-0.361035715568,87.098,0,3.5632655406,-10.3594553341
27,90.058,90.3046666667,0.246666666667,-9.98473014682,90.3046666667,0.246666666667,-17.981967796,90.058,0,-9.43626267769,90.058,0,-9.36450402615,-8.0689963007
28,93.018,92.7713333333,-0.246666666667,-16.5706905638,92.7713333333,-0.246666666667,-22.1775351976,93.018,0,-14.244092331,93.018,0,-17.1278931398,-2.72304382503
29,95.978,95.8546666667,-0.123333333333,-18.0787539539,95.8546666667,-0.123333333333,-25.5920608137,95.978,0,-16.2735166949,95.978,0,-21.1060133846,-2.68081017006
30,98.938,98.938,0,-13.5050452843,98.938,0,-21.8128989749,98.938,0,-11.6136892604,98.938,0,-19.0250124899,-0.896530461185
