label,order,job,step,job_started_at,gates,resolution_mm,supported_gates,statistic,value,unit
run,cr1,common-reference-1,2,2026-09-21T12:35:05.416491+03:00,50,1.85,49,mean,27.6814207442,mm/s
run,cr1,common-reference-1,2,2026-09-21T12:35:05.416491+03:00,50,1.85,49,median,27.3279644235,mm/s
run,cr1,common-reference-1,2,2026-09-21T12:35:05.416491+03:00,50,1.85,49,iqr,26.5968430731,mm/s
run,cr1,common-reference-1,2,2026-09-21T12:35:05.416491+03:00,50,1.85,49,rms,39.4210303,mm/s
run,cr1,common-reference-1,2,2026-09-21T12:35:05.416491+03:00,50,1.85,49,zero_fraction,0.00970910752361,dimensionless
run,cr2,common-reference-2,4,2026-09-21T12:38:27.398225+03:00,50,1.85,49,mean,26.4264651139,mm/s
run,cr2,common-reference-2,4,2026-09-21T12:38:27.398225+03:00,50,1.85,49,median,26.3203686129,mm/s
run,cr2,common-reference-2,4,2026-09-21T12:38:27.398225+03:00,50,1.85,49,iqr,27.6535898989,mm/s
run,cr2,common-reference-2,4,2026-09-21T12:38:27.398225+03:00,50,1.85,49,rms,37.9181577958,mm/s
run,cr2,common-reference-2,4,2026-09-21T12:38:27.398225+03:00,50,1.85,49,zero_fraction,0.0106229058788,dimensionless
run,cr3,common-reference-3,6,2026-09-21T12:41:38.683413+03:00,50,1.85,49,mean,28.7937834108,mm/s
run,cr3,common-reference-3,6,2026-09-21T12:41:38.683413+03:00,50,1.85,49,median,28.0160786356,mm/s
run,cr3,common-reference-3,6,2026-09-21T12:41:38.683413+03:00,50,1.85,49,iqr,27.5614317455,mm/s
run,cr3,common-reference-3,6,2026-09-21T12:41:38.683413+03:00,50,1.85,49,rms,39.5968914459,mm/s
run,cr3,common-reference-3,6,2026-09-21T12:41:38.683413+03:00,50,1.85,49,zero_fraction,0.0100517819068,dimensionless
run,cr4,common-reference-4,8,2026-09-21T12:46:56.968305+03:00,50,1.85,49,mean,24.5589557873,mm/s
run,cr4,common-reference-4,8,2026-09-21T12:46:56.968305+03:00,50,1.85,49,median,24.1577239463,mm/s
run,cr4,common-reference-4,8,2026-09-21T12:46:56.968305+03:00,50,1.85,49,iqr,26.2527859671,mm/s
run,cr4,common-reference-4,8,2026-09-21T12:46:56.968305+03:00,50,1.85,49,rms,35.7262780711,mm/s
run,cr4,common-reference-4,8,2026-09-21T12:46:56.968305+03:00,50,1.85,49,zero_fraction,0.0106609808102,dimensionless

left,right,job_start_separation_min,mean_difference_mm_s,rms_difference_mm_s,max_abs_difference_mm_s,max_abs_depth_mm
cr1,cr2,3.36636223333,1.25495563029,3.39687916148,7.84302565352,10.138
cr1,cr3,6.5544487,-1.11236266657,2.41099738942,6.38944857021,89.688
cr1,cr4,11.8591969,3.12246495686,5.95868771629,13.1698127702,19.388
cr2,cr3,3.18808646667,-2.36731829686,3.83230314353,8.61137706386,11.988
cr2,cr4,8.49283466667,1.86750932657,4.95746314682,10.0267612408,21.238
cr3,cr4,5.3047482,4.23482762343,6.43996107841,14.6031700796,21.238
