relative_path,order,step,job,kind,requested_label,identity,point_key,job_started_at,job_finished_at,recording_stamp,declared_burst_length,declared_emissions_per_profile,declared_prf_us,declared_resolution_mm,declared_accepted_resolution_mm,declared_gates,declared_first_gate_mm,declared_depth_mm,is_control,quantity,unit,profiles,gates,duration_s,depth_min_mm,depth_max_mm,resolution_mm,prf_period_us,prf_hz,burst_length,emissions_per_profile,emit_freq_khz,emit_power,sensitivity,sampling_volume_index,sound_speed_ms,doppler_angle_deg,velo_max_ms,tgc_mode,tgc_start_db,tgc_end_db,skipped_profiles,op_word_14,op_word_27,op_word_84,requested_duration_s,median_interval_s,interval_iqr_s,achieved_period_s,retained_fraction,usable_interval_s,meets_usable_interval,period_expectation_s,period_residual_s,timestamps_monotone,nan_count,zero_fraction,non_zero_fraction,velocity_min_mm_s,velocity_max_mm_s,supported_gates,window_revolutions,window_s,window_profiles,supported_mean_mm_s,supported_median_mm_s,supported_iqr_mm_s,supported_rms_mm_s,supported_zero_fraction,source_sha256,file_size_bytes,log_relative_path,log_status,log_target_s,log_achieved_period_s,log_median_interval_s,manifest_relative_path,job_definition,job_definition_fingerprint,plan,plan_fingerprint,decode_error
sparse2-common-reference-3-cr3-20260921T124146.BDD,17,6,common-reference-3,common-reference,cr3,sparse2-common-reference-3-cr3,1,2026-09-21T12:41:38.683413+03:00,2026-09-21T12:42:07.590411+03:00,20260921T124146,10,20,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,10,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,11.52,true,0.0226,-0.000206607142857,true,0,0.0100178253119,0.989982174688,-63.8225931725,138.482985186,49,103,12.36,552,29.1924529774,28.3724234954,27.8932010977,40.0431685843,0.0100561963916,056015dcabf3b7ad2c1e8b01f4672754c283fc54ab405a4c7e95b8de07595e7e,70096,sparse-mixer-live-1-common-reference-3.jsonl,ok,0.013,0.0223933928571,0.0224,sparse-mixer-live-1-common-reference-3.manifest.json,jobs/common-reference-3.json,51bc174a0591eca248024502393e86eae2475fc81ca7107b967cae7dc5c98c68,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-64-ctrl-begin-20260921T124506.BDD,18,7,emissions-64,scientific,ctrl-begin,sparse2-emissions-64-ctrl-begin,1,2026-09-21T12:44:59.046611+03:00,2026-09-21T12:46:16.230239+03:00,20260921T124506,10,64,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,259,50,12.5888,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.0487937984496,1.04906666667,11.52,true,0.049,-0.000206201550388,true,0,0.00741312741313,0.992586872587,-65.0267930437,133.666185701,49,103,12.36,254,31.1297180422,31.8129945559,25.5339523705,41.0684949687,0.0071508918528,158861c11cababb81f52c3b4c233ee26cb06ab3e4d44006e10af301a577cf51f,49258,sparse-mixer-live-1-emissions-64.jsonl,ok,0.0394,0.0487937984496,0.0488,sparse-mixer-live-1-emissions-64.manifest.json,jobs/emissions-64.json,8f82c89509153192a6c56804dff0067dff5ad1dce91c5f7bb9215761f3b59bd0,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-64-e64-20260921T124506.BDD,19,7,emissions-64,scientific,e64,sparse2-emissions-64-e64,2,2026-09-21T12:44:59.046611+03:00,2026-09-21T12:46:16.230239+03:00,20260921T124506,10,64,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,257,50,12.4911,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.048793359375,1.040925,11.52,true,0.049,-0.000206640625,true,0,0.00614785992218,0.993852140078,-69.8435925284,126.440986474,49,103,12.36,254,31.1489720816,31.1494558514,24.7966871433,40.3314033323,0.0061063795597,cda04a465d751536669865bf817f99e8b008324c0a7259ba7dca97afa3d8e0d3,49120,sparse-mixer-live-1-emissions-64.jsonl,ok,0.0394,0.048793359375,0.0488,sparse-mixer-live-1-emissions-64.manifest.json,jobs/emissions-64.json,8f82c89509153192a6c56804dff0067dff5ad1dce91c5f7bb9215761f3b59bd0,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-64-ctrl-mid-20260921T124506.BDD,20,7,emissions-64,scientific,ctrl-mid,sparse2-emissions-64-ctrl-mid,3,2026-09-21T12:44:59.046611+03:00,2026-09-21T12:46:16.230239+03:00,20260921T124506,10,64,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,258,50,12.5399,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.048793385214,1.04499166667,11.52,true,0.049,-0.000206614785992,true,0,0.00798449612403,0.992015503876,-57.8015938166,127.645186345,49,103,12.36,254,32.6360805518,32.7468638438,24.0778535467,41.625094214,0.00779366864856,ae3c7b25d87e6b864346f73ce7d610599ea514cef48e5a3843c9416db00907ae,49189,sparse-mixer-live-1-emissions-64.jsonl,ok,0.0394,0.048793385214,0.0488,sparse-mixer-live-1-emissions-64.manifest.json,jobs/emissions-64.json,8f82c89509153192a6c56804dff0067dff5ad1dce91c5f7bb9215761f3b59bd0,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-64-ctrl-end-20260921T124506.BDD,21,7,emissions-64,scientific,ctrl-end,sparse2-emissions-64-ctrl-end,4,2026-09-21T12:44:59.046611+03:00,2026-09-21T12:46:16.230239+03:00,20260921T124506,10,64,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,258,50,12.5399,10.138,100.788,1.85,600,1666.66666667,10,64,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,64,1,0,12,0.0488,0,0.048793385214,1.04499166667,11.52,true,0.049,-0.000206614785992,true,0,0.00829457364341,0.991705426357,-59.0057936878,125.236786603,49,103,12.36,254,29.8343759343,29.5643356128,26.2036349519,40.3483177511,0.00771332154909,12865dec56a6d2cf49bb0a11d03a2a0f35f44038a716c2393863a228b01a9d7f,49189,sparse-mixer-live-1-emissions-64.jsonl,ok,0.0394,0.048793385214,0.0488,sparse-mixer-live-1-emissions-64.manifest.json,jobs/emissions-64.json,8f82c89509153192a6c56804dff0067dff5ad1dce91c5f7bb9215761f3b59bd0,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-common-reference-4-cr4-20260921T124704.BDD,22,8,common-reference-4,common-reference,cr4,sparse2-common-reference-4-cr4,1,2026-09-21T12:46:56.968305+03:00,2026-09-21T12:47:25.956244+03:00,20260921T124704,10,20,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,561,50,12.5402,10.138,100.788,1.85,600,1666.66666667,10,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223932142857,1.04501666667,11.52,true,0.0226,-0.000206785714286,true,0,0.010623885918,0.989376114082,-99.9485893079,187.855179904,49,103,12.36,552,24.9211674316,24.6738096054,26.4493900277,35.9168284709,0.0106477373558,fed47c2b317f57d35e291b901b4d62df5f6d7c93c5fa9fec02d6f092f4e708ef,70096,sparse-mixer-live-1-common-reference-4.jsonl,ok,0.013,0.0223932142857,0.0224,sparse-mixer-live-1-common-reference-4.manifest.json,jobs/common-reference-4.json,29dd8709ed4555c51aee523434b52700539ae25726e096a8e10326c5c59b83d4,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-128-ctrl-begin-20260921T124806.BDD,23,9,emissions-128,scientific,ctrl-begin,sparse2-emissions-128-ctrl-begin,1,2026-09-21T12:47:58.564689+03:00,2026-09-21T12:49:15.629581+03:00,20260921T124806,10,128,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,144,50,12.4686,10.138,100.788,1.85,600,1666.66666667,10,128,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,128,1,0,12,0.0872,8.881784197e-16,0.087193006993,1.03905,11.52,true,0.0874,-0.000206993006993,true,0,0.00847222222222,0.991527777778,-61.4141934301,133.666185701,49,103,12.36,142,30.2742562612,29.3431560446,30.1848671791,41.2235694802,0.0077608508192,4a55454bbd23cf64c0172cae5fdfbe46251f82cbee7980ed1ae07f38ca4e63fe,41323,sparse-mixer-live-1-emissions-128.jsonl,ok,0.0778,0.087193006993,0.0872,sparse-mixer-live-1-emissions-128.manifest.json,jobs/emissions-128.json,808dacc2bb59859d651ead0c5c236879a5a23ffe6910debd98201cdb67a182e7,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-128-e128-20260921T124806.BDD,24,9,emissions-128,scientific,e128,sparse2-emissions-128-e128,2,2026-09-21T12:47:58.564689+03:00,2026-09-21T12:49:15.629581+03:00,20260921T124806,10,128,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,145,50,12.5559,10.138,100.788,1.85,600,1666.66666667,10,128,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,128,1,0,12,0.0872,8.881784197e-16,0.08719375,1.046325,11.52,true,0.0874,-0.00020625,true,0,0.00662068965517,0.993379310345,-52.9847943319,128.849386216,49,103,12.36,142,33.4495156801,33.3243882718,25.0670177266,42.5841820724,0.00646737568267,9f2e73bd8e54bbeb924e4e6e21a43712fce52ef8262568076085aa37defcbd95,41392,sparse-mixer-live-1-emissions-128.jsonl,ok,0.0778,0.08719375,0.0872,sparse-mixer-live-1-emissions-128.manifest.json,jobs/emissions-128.json,808dacc2bb59859d651ead0c5c236879a5a23ffe6910debd98201cdb67a182e7,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-128-ctrl-mid-20260921T124806.BDD,25,9,emissions-128,scientific,ctrl-mid,sparse2-emissions-128-ctrl-mid,3,2026-09-21T12:47:58.564689+03:00,2026-09-21T12:49:15.629581+03:00,20260921T124806,10,128,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,144,50,12.4687,10.138,100.788,1.85,600,1666.66666667,10,128,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,128,1,0,12,0.0872,8.881784197e-16,0.0871937062937,1.03905833333,11.52,true,0.0874,-0.000206293706294,true,0,0.00847222222222,0.991527777778,-60.209993559,102.35698905,49,103,12.36,142,28.5949875992,29.1711274916,25.6752615391,37.5926103005,0.00790457027882,87041912f1f6b214b603a5d91d9a7dbb448e927e67070d3d6304b843bae0d0fa,41323,sparse-mixer-live-1-emissions-128.jsonl,ok,0.0778,0.0871937062937,0.0872,sparse-mixer-live-1-emissions-128.manifest.json,jobs/emissions-128.json,808dacc2bb59859d651ead0c5c236879a5a23ffe6910debd98201cdb67a182e7,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-emissions-128-ctrl-end-20260921T124806.BDD,26,9,emissions-128,scientific,ctrl-end,sparse2-emissions-128-ctrl-end,4,2026-09-21T12:47:58.564689+03:00,2026-09-21T12:49:15.629581+03:00,20260921T124806,10,128,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,145,50,12.5559,10.138,100.788,1.85,600,1666.66666667,10,128,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,128,1,0,12,0.0872,8.881784197e-16,0.08719375,1.046325,11.52,true,0.0874,-0.00020625,true,0,0.00827586206897,0.991724137931,-66.2309929148,125.236786603,49,103,12.36,142,32.1314377527,31.9481598476,25.0731616035,41.8636909827,0.00819200919805,cf6c445874d3104d990bbcf12caf172399cff4a314359e9934adf50b82e95a40,41392,sparse-mixer-live-1-emissions-128.jsonl,ok,0.0778,0.08719375,0.0872,sparse-mixer-live-1-emissions-128.manifest.json,jobs/emissions-128.json,808dacc2bb59859d651ead0c5c236879a5a23ffe6910debd98201cdb67a182e7,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
