job,step,burst_length,emissions_per_profile,statistic,quantity,begin,mid,end,value,unit
emissions-8,5,10,8,median,drift_end_minus_begin,28.2126826962,26.5046849197,27.647446022,-0.565236674227,mm/s
emissions-8,5,10,8,median,anchor_range,28.2126826962,26.5046849197,27.647446022,1.70799777647,mm/s
emissions-8,5,10,8,iqr,drift_mid_minus_begin,28.1881071886,27.5798633761,27.1436481167,-0.608243812483,mm/s
emissions-8,5,10,8,iqr,drift_end_minus_mid,28.1881071886,27.5798633761,27.1436481167,-0.436215259458,mm/s
emissions-8,5,10,8,iqr,drift_end_minus_begin,28.1881071886,27.5798633761,27.1436481167,-1.04445907194,mm/s
emissions-8,5,10,8,iqr,anchor_range,28.1881071886,27.5798633761,27.1436481167,1.04445907194,mm/s
emissions-8,5,10,8,rms,drift_mid_minus_begin,39.2891420715,38.4220712029,39.6583358028,-0.867070868616,mm/s
emissions-8,5,10,8,rms,drift_end_minus_mid,39.2891420715,38.4220712029,39.6583358028,1.23626459994,mm/s
emissions-8,5,10,8,rms,drift_end_minus_begin,39.2891420715,38.4220712029,39.6583358028,0.369193731322,mm/s
emissions-8,5,10,8,rms,anchor_range,39.2891420715,38.4220712029,39.6583358028,1.23626459994,mm/s
emissions-8,5,10,8,zero_fraction,drift_mid_minus_begin,0.0120898992508,0.0118832343064,0.0118832343064,-0.000206664944459,dimensionless
emissions-8,5,10,8,zero_fraction,drift_end_minus_mid,0.0120898992508,0.0118832343064,0.0118832343064,0,dimensionless
emissions-8,5,10,8,zero_fraction,drift_end_minus_begin,0.0120898992508,0.0118832343064,0.0118832343064,-0.000206664944459,dimensionless
emissions-8,5,10,8,zero_fraction,anchor_range,0.0120898992508,0.0118832343064,0.0118832343064,0.000206664944459,dimensionless
emissions-64,7,10,64,mean,drift_mid_minus_begin,31.0182865772,32.5038060799,29.6751251978,1.48551950261,mm/s
emissions-64,7,10,64,mean,drift_end_minus_mid,31.0182865772,32.5038060799,29.6751251978,-2.82868088207,mm/s
emissions-64,7,10,64,mean,drift_end_minus_begin,31.0182865772,32.5038060799,29.6751251978,-1.34316137946,mm/s
emissions-64,7,10,64,mean,anchor_range,31.0182865772,32.5038060799,29.6751251978,2.82868088207,mm/s
emissions-64,7,10,64,median,drift_mid_minus_begin,31.6655415105,32.5994107983,29.380019306,0.933869287853,mm/s
emissions-64,7,10,64,median,drift_end_minus_mid,31.6655415105,32.5994107983,29.380019306,-3.21939149234,mm/s
emissions-64,7,10,64,median,drift_end_minus_begin,31.6655415105,32.5994107983,29.380019306,-2.28552220448,mm/s
emissions-64,7,10,64,median,anchor_range,31.6655415105,32.5994107983,29.380019306,3.21939149234,mm/s
emissions-64,7,10,64,iqr,drift_mid_minus_begin,25.7244125542,24.1577239463,26.3449441205,-1.56668860791,mm/s
emissions-64,7,10,64,iqr,drift_end_minus_mid,25.7244125542,24.1577239463,26.3449441205,2.18722017418,mm/s
emissions-64,7,10,64,iqr,drift_end_minus_begin,25.7244125542,24.1577239463,26.3449441205,0.620531566271,mm/s
emissions-64,7,10,64,iqr,anchor_range,25.7244125542,24.1577239463,26.3449441205,2.18722017418,mm/s
emissions-64,7,10,64,rms,drift_mid_minus_begin,41.0501492022,41.5709229007,40.3359944606,0.520773698451,mm/s
emissions-64,7,10,64,rms,drift_end_minus_mid,41.0501492022,41.5709229007,40.3359944606,-1.23492844006,mm/s
emissions-64,7,10,64,rms,drift_end_minus_begin,41.0501492022,41.5709229007,40.3359944606,-0.714154741607,mm/s
emissions-64,7,10,64,rms,anchor_range,41.0501492022,41.5709229007,40.3359944606,1.23492844006,mm/s
emissions-64,7,10,64,zero_fraction,drift_mid_minus_begin,0.0072175211548,0.00779824124772,0.00763232122117,0.000580720092915,dimensionless
emissions-64,7,10,64,zero_fraction,drift_end_minus_mid,0.0072175211548,0.00779824124772,0.00763232122117,-0.000165920026547,dimensionless
emissions-64,7,10,64,zero_fraction,drift_end_minus_begin,0.0072175211548,0.00779824124772,0.00763232122117,0.000414800066368,dimensionless
emissions-64,7,10,64,zero_fraction,anchor_range,0.0072175211548,0.00779824124772,0.00763232122117,0.000580720092915,dimensionless
emissions-128,9,10,128,mean,drift_mid_minus_begin,30.0013522475,28.6324252422,31.9365844274,-1.36892700529,mm/s
emissions-128,9,10,128,mean,drift_end_minus_mid,30.0013522475,28.6324252422,31.9365844274,3.30415918513,mm/s
emissions-128,9,10,128,mean,drift_end_minus_begin,30.0013522475,28.6324252422,31.9365844274,1.93523217984,mm/s
emissions-128,9,10,128,mean,anchor_range,30.0013522475,28.6324252422,31.9365844274,3.30415918513,mm/s
emissions-128,9,10,128,median,drift_mid_minus_begin,29.0236744462,29.3431560446,31.579527234,0.319481598476,mm/s
emissions-128,9,10,128,median,drift_end_minus_mid,29.0236744462,29.3431560446,31.579527234,2.23637118933,mm/s
emissions-128,9,10,128,median,drift_end_minus_begin,29.0236744462,29.3431560446,31.579527234,2.55585278781,mm/s
emissions-128,9,10,128,median,anchor_range,29.0236744462,29.3431560446,31.579527234,2.55585278781,mm/s
emissions-128,9,10,128,iqr,drift_mid_minus_begin,29.9083927189,25.4356503402,25.0977371111,-4.47274237867,mm/s
emissions-128,9,10,128,iqr,drift_end_minus_mid,29.9083927189,25.4356503402,25.0977371111,-0.337913229157,mm/s
emissions-128,9,10,128,iqr,drift_end_minus_begin,29.9083927189,25.4356503402,25.0977371111,-4.81065560782,mm/s
emissions-128,9,10,128,iqr,anchor_range,29.9083927189,25.4356503402,25.0977371111,4.81065560782,mm/s
emissions-128,9,10,128,rms,drift_mid_minus_begin,40.9445134742,37.602839565,41.8106829482,-3.34167390919,mm/s
emissions-128,9,10,128,rms,drift_end_minus_mid,40.9445134742,37.602839565,41.8106829482,4.20784338323,mm/s
emissions-128,9,10,128,rms,drift_end_minus_begin,40.9445134742,37.602839565,41.8106829482,0.866169474044,mm/s
emissions-128,9,10,128,rms,anchor_range,40.9445134742,37.602839565,41.8106829482,4.20784338323,mm/s
emissions-128,9,10,128,zero_fraction,drift_mid_minus_begin,0.00769003253475,0.0075421472937,0.00813368825791,-0.000147885241053,dimensionless
emissions-128,9,10,128,zero_fraction,drift_end_minus_mid,0.00769003253475,0.0075421472937,0.00813368825791,0.000591540964212,dimensionless
emissions-128,9,10,128,zero_fraction,drift_end_minus_begin,0.00769003253475,0.0075421472937,0.00813368825791,0.000443655723159,dimensionless
emissions-128,9,10,128,zero_fraction,anchor_range,0.00769003253475,0.0075421472937,0.00813368825791,0.000591540964212,dimensionless
