axis,relative_path,requested_label,realizations,realization_paths,prf_period_us,prf_hz,velo_max_mm_s,profiles_window,gates_in_support,pitch_mm,mean_mm_s,robust_spread_mm_s,rms_mm_s,zero_fraction,gradient_max_abs_mm_s_per_mm,correlation_length_mm,profile_rate_hz,load_max_over_velo_max,warning_fraction_half,warning_fraction_three_quarter,warning_fraction_nine_tenths,warning_fraction_at_limit,samples_beyond_limit,wrap_like_events,wrap_like_fraction,max_abs_step_over_velo_max,nyquist_hz,segment_profiles,segment_duration_s,frequency_resolution_hz,segments,usable_bandwidth_hz,acf_e_folding_lag_s,psd_share_below_mixer_marker
prf,prf/400.BDD,400,1,prf/400.BDD,400,2500,231.206375266,537,50,1.85,13.9396562518,15.0953853963,27.9264622774,0.0231284916201,9.46014182356,12.95,66.719813577,0.7265625,0.000335195530726,0,0,0,0,0,0,0.6953125,33.3599067885,106,1.57374540441,0.629432203557,5,33.3599067885,0.0899283088235,0.829943587024
prf,prf/500.BDD,500,1,prf/500.BDD,500,2000,184.965100213,431,50,1.85,22.5113068039,28.1766006053,37.490125405,0.00798143851508,5.75043761146,12.95,53.5070832716,1.0625,0.00399071925754,4.6403712297e-05,4.6403712297e-05,4.6403712297e-05,1,2,9.3023255814e-05,1.1015625,26.7535416358,85,1.56988560886,0.629495097313,6,26.4387940872,0.0934455719557,0.843273077812
prf,prf/600.BDD,600,2,prf/600.BDD;res/1-8.BDD,600,1666.66666667,154.137583511,360,50,1.85,17.8104505947,30.6594304702,35.8762736011,0.00891666666667,6.67553442101,13.875,44.6642295332,1.05859375,0.0251111111111,0.000638888888889,5.55555555556e-05,2.77777777778e-05,0.5,1,5.57103064067e-05,1.12890625,22.3321147666,71,1.56724969248,0.629073655397,8,22.0175779389,0.100751736063,0.876586802609
prf,prf/700.BDD,700,1,prf/700.BDD,700,1428.57142857,132.117928724,309,50,1.85,20.7672869212,22.266841446,34.3479540637,0.00776699029126,5.80139323927,12.95,38.3297600254,0.875,0.0497734627832,0.00233009708738,0,0,0,0,0,0.7578125,19.1648800127,61,1.56536330935,0.628356721727,9,18.8507016518,0.0782681654676,0.875726240814
prf,prf/800.BDD,800,1,prf/800.BDD,800,1250,115.603187633,270,50,1.85,19.0706457599,21.8303039147,33.019976945,0.00555555555556,3.29256451264,16.65,33.5689817617,1.2109375,0.0533333333333,0.00037037037037,0.000148148148148,7.40740740741e-05,1,3,0.000223048327138,1.453125,16.7844908808,53,1.54904907063,0.633377014371,10,16.4678023737,0.0893682156134,0.879383755734
