axis,fine_path,fine_label,fine_pitch_mm,coarse_path,coarse_label,coarse_pitch_mm,knot_spacing_mm,knots,support_min_mm,support_max_mm,max_knot_offset_mm,mean_abs_difference_mm_s,median_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_screening_threshold,fraction_above_screening_threshold,max_abs_difference_over_screening_threshold,depth_ranges_above_screening_threshold_mm,fine_variance_share_at_coarse_knots,fine_detail_rms_mm_s,fine_detail_max_abs_mm_s,fine_detail_variance_share
res,res/0-2.BDD,0-2,0.246666666667,res/0-4.BDD,0-4,0.37,0.37,235,10.1626666667,96.7426666667,0.123333333333,4.63030485341,4.21496848142,15.1833105129,42.7226666667,0,0,0.783853742572,,1.00074238718,0.431182249723,2.44259608758,0.000396293941433
res,res/0-2.BDD,0-2,0.246666666667,res/0-6.BDD,0-6,0.616666666667,0.616666666667,141,10.1626666667,96.7426666667,0.123333333333,1.97411701908,1.71397508081,6.11355261449,44.696,0,0,0.315618329296,,0.991513079637,0.581447238322,2.73815021418,0.000721926431789
res,res/0-2.BDD,0-2,0.246666666667,res/0-8.BDD,0-8,0.74,0.74,118,10.1626666667,96.7426666667,0,2.47651352362,2.4125418556,6.23670805737,95.2626666667,0,0,0.32197635344,,1.01130510247,0.604317323416,2.79677252028,0.000779861452388
res,res/0-2.BDD,0-2,0.246666666667,res/1-0.BDD,1-0,0.986666666667,0.986666666667,88,10.1626666667,96.7426666667,0,4.64646223966,3.65073942715,14.5898716717,42.7226666667,0,0,0.753216862935,,0.977362613036,0.904608002614,4.68489929599,0.00174747333622
res,res/0-2.BDD,0-2,0.246666666667,res/1-2.BDD,1-2,1.23333333333,1.23333333333,71,10.1626666667,96.7426666667,0,4.67773173221,3.73809227065,15.7644906744,42.2293333333,0,0,0.813857755481,,1.00855490532,1.0417206165,5.23936860787,0.00231516696128
res,res/0-2.BDD,0-2,0.246666666667,res/1-4.BDD,1-4,1.35666666667,1.35666666667,64,10.1626666667,96.7426666667,0.123333333333,4.1073463956,3.27466717907,11.1221434581,41.366,0,0,0.574191891,,0.963811136167,1.21953942689,6.36784800033,0.00316638076902
res,res/0-2.BDD,0-2,0.246666666667,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.123333333333,2.61286020933,2.51239363791,9.48360203173,10.1626666667,0,0,0.489600534699,,1.02852596322,1.39622538631,7.92622430421,0.00416273177594
res,res/0-2.BDD,0-2,0.246666666667,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0.123333333333,3.06781320122,3.09959569536,6.78088659326,17.5626666667,0,0,0.350070120054,,0.94957128947,1.52380955644,6.36784800033,0.00495418253685
res,res/0-2.BDD,0-2,0.246666666667,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0,4.2225991603,3.26225105687,11.8038676207,16.0826666667,0,0,0.609386589532,,0.944627902857,1.57601751734,7.48167181627,0.00529163630014
res,res/0-2.BDD,0-2,0.246666666667,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0,2.7741380005,2.74441579132,6.35364765715,10.1626666667,0,0,0.328013478404,,1.04077823318,1.74988175095,9.16462052062,0.0065370966592
