axis,short_path,short_label,short_cycles,long_path,long_label,long_cycles,cycle_gap,knots,knot_spacing_mm,max_knot_offset_mm,mean_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_envelope,max_abs_difference_over_envelope,depth_ranges_above_envelope_mm,correlation_length_change_mm,gradient_median_change_mm_s_per_mm,robust_spread_change_mm_s,zero_fraction_change,hf_share_change,acf_e_folding_lag_change_s
burst_len,burst_len/6.BDD,6,6,burst_len/8.BDD,8,8,2,50,1.85,0,7.15548239243,19.411019381,47.1626666667,1,1.00211348348,47.1627..47.1627,0,0.181835629962,0.273016974842,0.00238866396761,0.0114947430467,0
burst_len,burst_len/6.BDD,6,6,burst_len/12.BDD,12,12,6,50,1.85,0,6.08042930095,15.1914445287,15.7126666667,0,0.784273669353,,-1.85,0.16470618656,-0.693511869131,0.00178137651822,-0.0113205837584,0
burst_len,burst_len/6.BDD,6,6,burst_len/14.BDD,14,14,8,50,1.85,0,7.09761254437,22.5702158041,86.0126666667,3,1.16521019007,82.3127..86.0127,-3.7,-0.038211835282,-1.9799824805,0,-0.00420531778053,0
burst_len,burst_len/6.BDD,6,6,burst_len/16.BDD,16,16,10,50,1.85,0,6.73391493145,20.571341524,82.3126666667,2,1.06201628621,82.3127..82.3127; 86.0127..86.0127,-3.7,-0.309647630733,-1.3279106879,0.000931174089069,-0.0164479028371,0
burst_len,burst_len/6.BDD,6,6,burst_len/18.BDD,18,18,12,50,1.85,0,6.46582201276,15.6472853706,82.3126666667,0,0.807806913283,,-3.7,-0.0131764949248,-3.48523231947,0.0019028340081,-0.00264856062011,0
burst_len,burst_len/6.BDD,6,6,burst_len/20.BDD,20,20,14,50,1.85,0,7.6085930646,19.0575599046,86.0126666667,0,0.98386578097,,-1.85,-0.33468297109,-1.42419792457,0.00109311740891,-0.00541517376817,0
burst_len,burst_len/6.BDD,6,6,burst_len/24.BDD,24,24,18,50,1.85,0,6.00983491175,19.3671416529,86.0126666667,0,0.999848251446,,-3.7,-0.125176701786,-6.01490522699,0.00295546558704,-0.0137503092884,0
burst_len,burst_len/6.BDD,6,6,burst_len/28.BDD,28,28,22,50,1.85,0,8.8123541585,34.7145958815,10.1626666667,5,1.79217607915,10.1627..10.1627; 47.1627..52.7127,-3.7,0.0948707634586,-5.00937395804,0.0138866396761,-0.0171958310774,0
burst_len,burst_len/6.BDD,6,6,burst_len/32.BDD,32,32,26,50,1.85,0,7.61614978444,23.9279877237,86.0126666667,4,1.23530653697,84.1627..89.7127,-1.85,-0.18051798047,-0.957997063509,0.00599190283401,-0.0128711360866,0.0223892238794
burst_len,burst_len/8.BDD,8,8,burst_len/12.BDD,12,12,4,50,1.85,0,5.24909261256,12.9195532738,45.3126666667,0,0.666984988378,,-1.85,-0.0171294434023,-0.966528843973,-0.000607287449393,-0.0228153268052,0
burst_len,burst_len/8.BDD,8,8,burst_len/14.BDD,14,14,6,50,1.85,0,7.5300519313,21.2685098705,86.0126666667,2,1.09800830634,84.1627..86.0127,-3.7,-0.220047465244,-2.25299945534,-0.00238866396761,-0.0157000608272,0
burst_len,burst_len/8.BDD,8,8,burst_len/16.BDD,16,16,8,50,1.85,0,7.48178643039,18.416457544,86.0126666667,0,0.950768223999,,-3.7,-0.491483260696,-1.60092766275,-0.00145748987854,-0.0279426458838,0
burst_len,burst_len/8.BDD,8,8,burst_len/18.BDD,18,18,10,50,1.85,0,4.62432251745,13.3583305548,82.3126666667,0,0.689637308738,,-3.7,-0.195012124887,-3.75824929431,-0.000485829959514,-0.0141433036668,0
burst_len,burst_len/8.BDD,8,8,burst_len/20.BDD,20,20,12,50,1.85,0,8.1566746416,17.755853971,86.0126666667,0,0.916663897235,,-1.85,-0.516518601053,-1.69721489941,-0.0012955465587,-0.0169099168149,0
burst_len,burst_len/8.BDD,8,8,burst_len/24.BDD,24,24,16,50,1.85,0,7.44629422367,18.0654357192,86.0126666667,0,0.932646367711,,-3.7,-0.307012331748,-6.28792220183,0.000566801619433,-0.0252450523351,0
